Topic,Count,Name,Representation,Representative_Docs
267,38,267_variantit_nen_votimin_karton,"['variantit', 'nen', 'votimin', 'karton', 'kalojmë', 'komisionit', 'kartonë', 'pro', 'sipas', 'neni']","['Kalojmë në votimin nen për nen me karton, sipas variantit të komisionit. Neni 1. Pro?', 'Kalojmë në votimin nen për nen me karton, sipas variantit të komisionit. Neni 1. Pro?', 'Kalojmë në votimin nen për nen me karton, sipas variantit të komisionit. Neni 1. Pro?']"
268,38,268_historia_kaluarën_historike_kujtime,"['historia', 'kaluarën', 'historike', 'kujtime', 'brez', 'harron', 'brezi', 'historinë', 'përsëritet', 'brezat']","['E ka mbajtur gjallë popullata çame, kujtesa jonë historike kolektive që vazhdon të transmetohet brez pas brezi.', '“Kush harron të kaluarën është i destinuar ta përsërisë atë”, kjo është një thënie e mençur, që duhet ta bëjë gjithsecilin nga ne të reflektojë.', 'Politika, diplomacia mund të heshtë për këto treva të cilat janë zbrazur nga gjendja e vetë njerëzore, por kujtesa jonë historike e kolektive, e cila ruhet e transmetohet brez pas brezi nuk harron.']"
269,37,269_rendit_votimit_debati_bëhuni,"['rendit', 'votimit', 'debati', 'bëhuni', 'ditës', 'mbyllet', 'projektvendimet', 'sotme', 'çështjet', 'diskutime']","['Këtu mbyllet debati për çështjet e sotme. Ju lutem, kolegë, bëhuni gati për procesin e votimit.', 'Projektvendimet janë pa diskutime. Këtu mbyllet debati për çështjet e sotme. Ju lutem, bëhuni gati për votim!', 'Projektvendimet janë pa diskutime. Këtu mbyllet debati për çështjet e sotme. Ju lutem, bëhuni gati për votim.']"
270,37,270_përhershëm_shkrim_debatit_lexohet,"['përhershëm', 'shkrim', 'debatit', 'lexohet', 'kryetar', 'zhvillimi', 'kërkohet', 'projektrezoluta', 'grupi', 'komision']","['Lexohet projektrezoluta nga Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut. Pyetje Zhvillimi i debatit (nëse kërkohet me shkrim nga një komision i përhershëm, një kryetar grupi parlamentar ose të paktën 10 deputetë).', 'Lexohet projektrezoluta nga Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut. Pyetje Zhvillimi i debatit (nëse kërkohet me shkrim nga një komision i përhershëm, një kryetar grupi parlamentar ose të paktën 10 deputetë).', 'Lexohet projektrezoluta nga Komisioni për Ekonominë dhe Financat. Pyetje Zhvillimi i debatit (nëse kërkohet me shkrim nga një komision i përhershëm, një kryetar grupi parlamentar ose të paktën 10 deputetë).']"
271,37,271_prezencën_prezentë_votimi_deputetë,"['prezencën', 'prezentë', 'votimi', 'deputetë', 'mbyllet', 'hapet', 'pranishëm', 'akteve', 'votimin', 'votimit']","['Hapet votimi për prezencën. Ju lutem, votoni për prezencën! Mbyllet votimi. Janë 71 deputetë prezentë.', 'Hapet votimi për prezencën. Mbyllet votimi për prezencën. 102 deputetë janë prezentë. Deputetë të pranishëm që nuk kanë votuar janë 35.', 'Hapet votimi për prezencën. Mbyllet votimi. 73 deputetë janë prezentë. Vazhdojmë me votimin e akteve.']"
272,37,272_siguria_sigurisë_sigurinë_kombëtare,"['siguria', 'sigurisë', 'sigurinë', 'kombëtare', 'pasiguria', 'platformat', 'tronditur', 'kriminal', 'elementit', 'shqetësimi']","['Sigurisht, e njëjta gjë vlen për të gjitha siguritë e tjera, përfshirë këtu edhe një siguri të madhe, atë që quhet siguria ekonomike, e tronditur si kurrë më parë, përballë furtunës së çmimeve, pa asnjë gram mbrojtjeje, pa lëvizur asnjë taksë, pa marrë as më të voglën masë ekonomike dhe duke shpikur “bordin e kusarëve”, me të cilin qesh e gjithë dynjaja.', 'Ja, këto janë të dhënat! Ky është fakt! Pra, siguria kombëtare është, absolutisht, në një gjendje më të tronditur se kurrë.', 'Komuniteti, policimi, perimetri i sigurisë, marrëveshjet mes ministrave, siguria në shkolla, siguria në rrugë, rendi publik e plot fraza e slogane të tjera si këto, sot janë të pavlera.']"
273,37,273_ura_urë_urës_beshirit,"['ura', 'urë', 'urës', 'beshirit', 'urave', 'urat', 'liqenore', 'kukësit', 'lidh', 'besonte']","['Nuk duhet të lihet pas dore edhe ndërtimi i urave në qarkun e Kukësit, siç jua thashë, një urë që lidh Shishtavecin me Kukësin, ura e Uzinës, e cila është me të vërtetë në gjendje të shkatërruar dhe mund të bëhet shkak për ndonjë aksident, apo edhe ura që lidh Hasin me Kukësin.', 'Qeveria duhet ta dijë se borxhet që merren duhen larë! Edhe në Komisionin e Ligjeve ne e kemi vlerësuar ndërtimin e urave, të rrugëve dhe, t’ju them të drejtën, më erdhi mirë që ishte planifikuar ndërtimi i urës së Beshirit dhe i urës së Viroit në Gjirokastër, sepse të dyja këto ura, sa herë bie shi bllokohen.', 'Megjithatë, ne arritëm që, përmes programit të rindërtimit të rikonstruktonim disa ura apo në disa raste të ndërtonim edhe ura të reja, duke sistemuar e duke rregulluar edhe shtratin e rrugës që lidhte këto ura, siç ndodhi në rastin e urës së Tapizës, ku u ndërtua një urë totalisht e re me parametra të sigurisë rrugore dhe, mbi të gjitha, që shkurtonte edhe trafikun.']"
274,37,274_abstenim_neni_kush_pro,"['abstenim', 'neni', 'kush', 'pro', 'kundër', 'miratohet', 'është', 'dakord', 'nenin', 'futur']","['Neni 1. Kush është pro? Kundër? Abstenim? Miratohet. Neni 2. Kush është pro? Kundër? Abstenim?', 'Neni 1. Kush është pro? Kundër? Abstenim? Miratohet. Neni 2. Kush është pro? Kundër? Abstenim?', 'Neni 1. Kush është pro? Kundër? Abstenim? Miratohet. Neni 2. Kush është pro? Kundër? Abstenim?']"
275,37,275_rregulloren_rregullorja_klikonte_rregullores,"['rregulloren', 'rregullorja', 'klikonte', 'rregullores', 'rregullore', 'normalitet', 'rregull', 'vendosni', 'mashtrues', 'kuptoni']","['Nëse nuk e respektoni Rregulloren, mos kërkoni t’ju jepet fjala! Ose e njihni Rregulloren, ose jo!', 'E treta, meqenëse ju këtu e përmendni Rregulloren vazhdimisht pa u lodhur, dhe mirë bëni, por jo të përmendet Rregullorja ashtu siç doni ju dhe kur të keni qejf ju; mënyrën se si e vendosët ju, që të mos bëni seanca, nuk e shkruante Rregullorja në asnjë vend.', 'Mua më ngarkon Rregullorja të drejtoj sipas Rregullores dhe jo se si e kuptoni ju Rregulloren.']"
276,37,276_iranit_irani_sulm_islamike,"['iranit', 'irani', 'sulm', 'islamike', 'iraniane', 'terrorist', 'iranin', 'diplomatike', 'teheran', 'nxorët']","['Pastaj nuk ishte kështu. Nuk ishin disa adoleshentë që bënë sulmin, por ishte një sulm i iniciuar, i sponsorizuar dhe i mbështetur nga Republike Islamike e Iranit.', 'Ne dënojmë me ashpërsinë më të madhe sulmet kibernetike iraniane, ruse, kineze apo të çfarëdo agresori tjetër dhe të çfarëdolloj forme, duke përshëndetur vendimin e qeverisë për ndërprerjen e marrëdhënieve diplomatike me Republikën Islamike të Iranit.', 'Natyrshëm, Partia Demokratike zyrtare ka bërë disa deklarime këtu, por do të ishte e udhës që ish-Presidenti, si ish-komandant i Forcave të Armatosura dhe ish-Kryeministri të bënte qoftë një deklaratë: “E dënoj sulmin kibernetik të Iranit, të Republikës Islamike të Iranit”.']"
277,37,277_akshi_informacionit_sistemeve_agjenci,"['akshi', 'informacionit', 'sistemeve', 'agjenci', 'teknologjisë', 'tik', 'komunikimit', 'shërbimeve', 'sigurinë', 'sigurisë']","['Kryeministri i centralizoi të gjitha institucionet shtetërore, i futi te AKSHI. AKSHI u bë agjencia mbulesë e të gjithë tenderëve, sepse është agjenci tenderësh.', 'Miliona euro për AKSHI-n, miliona euro për sigurinë e sistemeve, por asgjë nuk mbrohet. AKSHI është institucioni që nuk i jep llogari askujt, për asnjë fond.', 'Në këta 8 vjet AKSHI ka marrë jo pak, por më shumë se 300 milionë euro.']"
278,37,278_caktimin_përhershme_komisioneve_projektvendimi,"['caktimin', 'përhershme', 'komisioneve', 'projektvendimi', 'anëtarësisë', 'ndryshuar', 'vendimin', '2021', '69', 'ndryshim']","['Projektvendimi “Për një ndryshim në vendimin nr. 69/2021 “Për caktimin e anëtarësisë së komisioneve të përhershme të Kuvendit”, i ndryshuar””.', 'Projektvendimi “Për një ndryshim në vendimin nr. 69/2021 “Për caktimin e anëtarësisë së komisioneve të përhershme të Kuvendit”, i ndryshuar””.', '69/2021 “Për caktimin e anëtarësisë së komisioneve të përhershme të Kuvendit”, i ndryshuar” dhe projektvendimi “Për një ndryshim në vendimin nr.']"
279,36,279_covid_pandemisë_pandemia_pandeminë,"['covid', 'pandemisë', 'pandemia', 'pandeminë', '19', 'derrit', 'komplikacione', 'post', 'gripit', 'medikamenteve']","['Sipas drejtoreshës së Institutit të Shëndetit Publik vetëm 3% e fëmijëve janë prekur nga COVID-19 që nga fillimi i pandemisë.', 'Arsyet e hartimit të këtij projektligji: 307 Legjislatura e 10-të Viti 2023 Të dashur kolegë, efektet e COVID-19 kanë lënë gjurmë në mbarë njerëzimin; COVID-19 ka sfiduar sisteme shëndetësore nga më të fuqishmit në mbarë globin, pa dyshim, edhe ne nuk u kemi shpëtuar efekteve post COVID-19.', 'Nuk ka dyshim se pandemia e COVID-19 pati një ndikim tepër të madh në menaxhimin financiar të shtetit.']"
280,36,280_shprehen_jashtme_dhënie_mendimi,"['shprehen', 'jashtme', 'dhënie', 'mendimi', 'politikën', 'grupet', 'diskutime', 'shprehet', 'votimit', 'parlamentare']","['Shprehet për dhënie mendimi Komisioni për Politikën e Jashtme. Diskutime (Shprehen grupet parlamentare.) Koha e votimit 6.', 'Shprehet për dhënie mendimi Komisioni për Politikën e Jashtme. Diskutime (Shprehen grupet parlamentare.) Koha e votimit 4.', 'Shprehet për dhënie mendimi Komisioni për Politikën e Jashtme. Diskutime (Shprehen grupet parlamentare.) Koha e votimit 5.']"
281,36,281_amendamenti_vota_votimi_abstenim,"['amendamenti', 'vota', 'votimi', 'abstenim', 'pro', 'mbyllet', 'miratohet', 'kundër', 'hapet', 'amendamentet']","['Mbyllet votimi. Janë 2 vota pro, zero vota abstenim, 65 vota kundër. Amendamenti nuk miratohet.', 'Abstenim? Hapet votimi. Mbyllet votimi. 30 vota pro, 0 abstenim, 50 vota kundër. Amendamenti nuk miratohet.', 'Hapet votimi. Mbyllet votimi. 7 vota pro, 1 abstenim, 73 vota kundër. Amendamenti nuk miratohet.']"
282,36,282_treg_tregun_tregu_pazarin,"['treg', 'tregun', 'tregu', 'pazarin', 'çmim', 'zinxhiri', 'tregtarët', 'skeptikëve', 'lirë', 'përqendruar']","['Në këtë pikë dua të them që tregu nuk po funksionon në këtë aspekt dhe natyrisht bordi që ne kishim nxori në pah disa probleme shumë të mëdha në tregje, veçanërisht në tregun e ushqimeve, kur na bëri me dije që thuajse në çdo treg produkti kishte vetëm 3-4 operatorë që dominonin tregun.', 'Por nuk duhet harruar se ky është një treg i lirë dhe çfarë duhet të bëjmë sot?', 'Çfarë duan këta? Është pyetja fundore. Të kesh një çmim unik, siç kemi sot në treg, pa asnjë mundësi zgjedhjeje, produkti i një zinxhiri transaksioni, për mua, jo i gjithi transparent, nga një treg i dominuar nga një metodologji, me çmim të hapur dhe abuziv, por edhe në një treg të përqendruar dhe të integruar vertikalisht, nuk është gjëja e duhur, nuk është gjëja për t’u pranuar, është abuzim dhe ushqen abuzimin, prandaj kemi krijuar këtë bord me këtë akt.']"
283,36,283_veprat_krimeve_krimit_ndërkufitar,"['veprat', 'krimeve', 'krimit', 'ndërkufitar', 'penale', 'trafikimin', 'luftën', 'policive', 'paligjshëm', 'shkëmbimin']","['Përparësitë që priten nga zbatimi i kësaj marrëveshjeje, në lidhje me luftën kundër krimit ndërkufitar, janë se palët do të forcojnë bashkëpunimin dhe përmirësimin e shkëmbimit të informacionit doganor e policor, si dhe do të ndërmarrin masa të përbashkëta kundër kërcënimeve ndërkufitare.', 'Dua të sqaroj publikun se kjo marrëveshje synon bashkëpunim më të mirë me këtë vend për veprat penale që lidhen me krimin ndërkufitar; për veprat penale që janë kundër jetës, shëndetit, integritetit fizik të personit; për veprat penale që lidhen me prodhimin dhe trafikimin e lëndëve narkotike, ku u kemi vendosur një rëndësi të veçantë edhe sfidave të reja që vijnë për sa u përket lëndëve narkotike sintetike, pra drogave sintetike; pastrimi i parave, lufta kundër trafikimit të qenieve njerëzore, shfrytëzimi seksual i fëmijëve, vjedhja dhe trafikimi i paligjshëm i armëve të zjarrit, municioneve, eksplozivëve, substancave radioaktive.', 'Ajo përmban detyrimin reciprok për palët për të bashkëpunuar në shkëmbimin e informacionit me synimin për të parandaluar, zbuluar dhe luftuar të gjitha format e krimeve, veçanërisht për veprat penale në disa fusha shumë të rëndësishme për aktualitetin dhe në vazhdim, siç janë veprat terroriste, veprimtaritë e grupeve terroriste, drejtuesit e këtyre grupeve, pjesëtarët dhe vendet e përqendrimit dhe të trajnimit të tyre; financimet e terrorizmit të çdo kategorie dhe mbështetja e tij ose veprimet e dyshuara në mbështetje dhe financim të tij përfshirë parandalimin e pagesës për grupet e tyre; luftëtarët e huaj gjatë luftërave të fundit në Lindjen e Mesme; krimet e rënda kundër personit e pronës, ato që përfshijnë korrupsionin dhe krimet e organizuara transnacionale; prodhimin dhe trafikimin e paligjshëm të armëve, municioneve, eksplozivëve dhe substancave bërthamore e kimike, materialeve radioaktive dhe biologjike, si dhe të teknologjisë që lidhet me to dhe të armëve të shkatërrimit në masë e armëve jokonvencionale; fenomenet e rrëmbimit, prodhimin e paligjshëm, kontrabandën dhe trafikimin e lëndëve narkotike dhe gjithë substancave psikotrope dhe materialet e tjera të përdorura për prodhimin e tyre; krimin e pastrimit të parave dhe ato ekonomike dhe financiare; veprat penale që lidhen me dhunën në familje dhe shfrytëzimin e fëmijëve, veçanërisht aktivitetet online; veprat e falsifikimit dhe të promovimit të monedhave, dokumenteve zyrtare, dokumenteve financiare ose obligacioneve, letrave me vlerë, kartave të kreditit dhe mjeteve të tjera të financimit; vjedhjen dhe kontrabandën e veprave kulturore, historike dhe letrare me vlera artistike dhe veprat penale që lidhen me gjithë pronësinë intelektuale; vjedhjen e automjeteve, kontrabandën dhe trafikimin e paligjshëm të tyre dhe ato që lidhen me transportin dhe komunikimin; veprat penale të lidhura me taksat dhe kundërvajtjet e teknologjisë së informacionit; migracionin e paligjshëm në shkallë të organizuar dhe lëvizjen e paligjshme të personave, si dhe çdo krim tjetër i rënë dakord reciprokisht nga palët.']"
284,36,284_kanabisit_kanabis_kanabisi_qëllime,"['kanabisit', 'kanabis', 'kanabisi', 'qëllime', 'kultivimin', 'mjekësor', 'kanabizimi', 'droga', 'industriale', 'mjekësore']","['Sot qeveria shqiptare për herë të parë sjell një politikë të re ekonomike: legalizimin e kanabisit për qëllime mjekësore, për të cilat ne nuk kemi asnjë informacion, nuk ka pasur asnjë debat.', 'Vendimmarrja e Republikës së Shqipërisë për kultivimin e kanabisit për qëllime industriale farmaceutike, si një pjesë e madhe e vendeve anëtare të Bashkimit Europian, është diçka tjetër.', 'Ne sot jemi një nga vendet kryesore në Europë për prodhimin e kanabisit. Në vitin 2021 në Shqipëri sipërfaqja e tokës së kultivuar me kanabis ishte 50% më shumë se në vitin 2020.']"
285,36,285_abstenim_miratohet_neni_pro,"['abstenim', 'miratohet', 'neni', 'pro', 'votimin', 'kundër', 'tërësi', 'kalojmë', 'karton', 'nenit']","['Neni 1. Pro? Kundër? Abstenim? Miratohet. Neni 2. Pro? Kundër? Abstenim? Miratohet. Kalojmë në votimin në tërësi.', 'Neni 1. Pro? Kundër? Abstenim? Miratohet. Neni 2. Pro? Kundër? Abstenim? Miratohet. Kalojmë në votimin në tërësi.', 'Neni 1. Pro? Kundër? Abstenim? Miratohet. Neni 2. Pro? Kundër? Abstenim? Miratohet. Kalojmë në votimin në tërësi.']"
286,36,286_absolute_votime_votash_elektronikë,"['absolute', 'votime', 'votash', 'elektronikë', 'procedura', 'shumicë', 'akt', 'kërkon', 'votimit', 'hapur']","['Ky akt kërkon shumicë absolute votash. Procedura e votimit: dy votime me elektronikë. Votimi është i hapur.', 'Ky akt kërkon shumicë absolute votash. Procedura e votimit: dy votime me elektronikë. Votimi është i hapur.', 'Ky akt kërkon shumicë absolute votash. Procedura e votimit: dy votime me elektronikë. Votimi është i hapur.']"
287,35,287_ekstradimin_shtetasve_spanjës_ekstradimit,"['ekstradimin', 'shtetasve', 'spanjës', 'ekstradimit', 'penale', 'spanjollë', 'ekstradimi', 'spanjën', 'anasjelltas', 'marrëveshje']","['Marrëveshja në mënyrë konkrete parashikon: - Lejimin e ekstradimit të ndërsjellë të shtetasve të Republikës së Shqipërisë dhe shtetasve të Mbretërisë së Spanjës.', 'Të nderuar kolegë, pa këtë marrëveshje përsëri sistemi ynë ka funksionuar dhe funksionon; funksionon për shkak të transferimit të procedimit penal, funksionon për shkak të njohjes dhe ekzekutimit të vendimeve penale, por kjo marrëveshje do të bëjë të mundur ekstradimin e të gjithë shtetasve shqiptarë që kryejnë vepra penale në Spanjë dhe strehohen në Shqipëri apo edhe anasjelltas shtetas spanjollë, të cilët kryejnë vepra penale në Shqipëri dhe strehohen në Mbretërinë e Spanjës.', 'Projektligji që sjellim sot para jush, eliminon një pengesë ligjore që ekzistonte në bashkëpunimin ndërmjet dy vendeve tona dhe që ka të bëjë me rezervën ligjore, me të cilën Shqipëria ka ratifikuar Konventën Europiane mbi Ekstradimin për moslejimin e shtetasve shqiptarë drejt Spanjës dhe anasjelltas, dhe pas kësaj, me Mbretërinë e Spanjës, autoritetet tona gjyqësore do të lejojnë ekstradimin reciprok të shtetasve shqiptarë në drejtim të Spanjës dhe anasjelltas.']"
288,35,288_mikro_reja_start_startup,"['mikro', 'reja', 'start', 'startup', 'projekteve', 'eve', 'projekt', 'rinovim', 'sme', 'synojmë']","['Me anë të këtij projektligji synojmë të rrisim mbështetjen për këto ndërmarrje me 50%, krahasuar me mbështetjen e dhënë deri në vitin 2019; synojmë të kemi rritje të aplikimeve për rinovim teknologjie nga zero që është aktualisht me, të paktën 50% brenda vitit; stimulojmë dhe mbështesim rritjen e numrit të ndërmarrjeve të reja të krijuara, për rrjedhojë edhe rritjen dhe krijimin e vendeve të reja të punës; prezantojmë instrumente të reja financiare, rrisim shkallën e përthithjes së granteve deri në 100% nga bizneset, si dhe ofrojmë garanci shtetërore të huas, sipas ligjit në fuqi, për borxhin dhe garancitë shtetërore.', 'Po e vijoj me biznesin, mbështetja për të cilin në vitin 2025 do të vijojë si me mbështetjen e SME- ve, ashtu edhe me mbështetjen e start-up-eve, një premtim elektoral, i përkthyer në program politik dhe programi politik në program qeverisës, për katër vjet për ndërmarrjet e reja të start-up-eve.', 'Startup-et dhe SME-të ecin në linja paralele, por kanë, në thelb, të njëjtin qëllim. Prandaj, të nderuar kolegë, miratimi i projektligjit për zhvillimin e ndërmarrjeve mikro, të vogla dhe të mesme i përgjigjet një objektivi madhor për të gjithë ne: zhvillimit ekonomik dhe krijimit të vendeve të reja të punës.']"
289,35,289_diktaturë_diktaturës_diktatura_rilindës,"['diktaturë', 'diktaturës', 'diktatura', 'rilindës', 'pasurinë', 'proletariatit', 'diktaturat', 'ishim', 'diktatoriale', 'diktatori']","['Ne jemi gati si në diktaturë, dhe kur je në diktaturë nuk e kupton, për shkak të kësaj propagande që bën Edi Rama nga mëngjesi në darkë.', 'Në atë kohë ishim në diktaturë dhe e dinte i gjithë populli që ishim në diktaturë.', 'Sot ne jemi gati në diktaturë, por nuk e pranojmë dhe shumë qytetarë nuk e kuptojnë, sepse, kur je brenda diktaturës, nuk kuptohet që je në diktaturë.']"
290,35,290_debati_debat_debatit_vepre,"['debati', 'debat', 'debatit', 'vepre', 'debatin', 'debate', 'kërkua', 'pëlqejnë', 'korruptive', 'diskutimi']","['Thënë këtë, këtu duhet të ishim fokusuar. Debati sot nuk duhet të ishte nëse u pëlqejnë apo nuk u pëlqejnë vendimet që ka dhënë Gjykata Kushtetuese; debati sot nuk duhet bërë duke pasur në mendje individë të caktuar.', 'E kemi bërë edhe ne, patjetër, si reflektim të këtij debati të sëmurë. Ky debat nuk prodhon asgjë.', 'Çdo gjë tjetër dhe çdo debat tjetër që bëhet për t’i shpëtuar debatit kryesor, sigurisht bëhet për t’iu larguar detyrimit për të dhënë përgjigje para qytetarëve për përgjegjësinë që ka sot maxhoranca, duke mbrojtur një vepër korruptive, që u bë avokate politike e një vepre korruptive, që u bë zëdhënëse e një vepre korruptive dhe që deri ditën e fundit e mbrojti atë me vrull, me energji dhe sigurisht me të gjitha mënyrat që ajo ka në dorë sot, duke ushtruar edhe presion mbi drejtësinë.']"
291,35,291_lekë_kilogram_kuintal_dynym,"['lekë', 'kilogram', 'kuintal', 'dynym', 'mijë', 'grurit', 'grurë', 'tvsh', 'grurin', 'inputeve']","['Është e pafalshme dhe e turpshme për këtë qeveri që 1 kilogram grurë kushton 250 lekë të vjetra ose 25 mijë lekë të vjetra kuintali, ndërkohë që 1 kuintal miell kushton 60 mijë lekë të vjetra, kurse kuintali i nënprodukteve të tjera të grurit është 35 mijë lekë.', 'Në fundjavë isha në zonë dhe takova shumë blegtorë, fermerë, të cilët ngritën me shqetësim shtrenjtimin e madh, rritjen e madhe të kostos së prodhimeve, që vjen nga shtrenjtimi i lëndëve të para për blegtorinë dhe më dhanë disa shifra, për shembull, 1 kilogram misër para disa kohësh ka qenë 250 lekë dhe tani ka shkuar 500 lekë; soja ka qenë 600 lekë dhe ka shkuar 1050 lekë; krundeja ka qenë 150 lekë kilogrami dhe ka shkuar 350 lekë; elbi ka qenë 300 lekë kilogrami dhe ka shkuar 600 lekë; jonxha, nga 5000 lekë një deng (besoj se 10 kilogramë), ka shkuar 12 mijë lekë; nitrati, nga 40 mijë lekë kuintali, ka shkuar në 110 mijë lekë; DAP-i, nga 60 mijë lekë kuintali, ka shkuar në 140 mijë lekë.', '1 kilogram misër në vitin 2019 kushtonte 250 lekë të vjetër, në pranverë kushton 380-400 lekë, ndërsa në dimër shkon 450-500 lekë; soja ka kushtuar 600 lekë për kilogram në vitin 2019, në pranverë është 980 lekë, ndërsa në dimër, kur nuk ka prodhim, shkon 1050-1100 lekë; krundja e grurit ka kushtuar 150 lekë për kilogram, 300 lekë është sot, ndërsa në periudhën e dimrit shkon 350 lekë; elbi në vitin 2019 ka qenë 300 lekë për kilogram, sot është 400 lekë, ndërsa në dimër shkon 600 lekë; jonxha, me 14 kilogramë dengu, është 5000 lekë, 7000 lekë është sot, ndërsa në dimër shkon 12 mijë lekë; nitrati në vitin 2019 ka qenë 40 mijë lekë për kuintal, ndërsa sot është 90 mijë lekë për kuintal; një thes dap ka qenë 60 mijë lekë për kuintal, ndërsa sot është 120 mijë lekë të vjetër për kuintal, dhe këta thonë që blegtorët na pritën me brohoritje!']"
292,35,292_dhënie_mendimi_shprehet_komisioni,"['dhënie', 'mendimi', 'shprehet', 'komisioni', 'europiane', 'çështjet', 'jashtme', 'politikën', 'financat', 'ekonominë']","['Shprehet për dhënie mendimi Komisioni për Politikën e Jashtme. Shprehet për dhënie mendimi Komisioni për Çështjet Europiane.', 'Shprehet për dhënie mendimi Komisioni për Politikën e Jashtme. Shprehet për dhënie mendimi Komisioni për Çështjet Europiane.', 'Shprehet për dhënie mendimi Komisioni për Politikën e Jashtme. Shprehet për dhënie mendimi Komisioni për Çështjet Europiane.']"
293,34,293_prokurorisë_këshillit_avokatëve_lartë,"['prokurorisë', 'këshillit', 'avokatëve', 'lartë', 'radhët', 'zgjedhjen', 'gjyqësor', 'anëtarëve', 'projektvendimi', 'anëtarit']","['Projektvendimi “Për zgjedhjen e anëtarëve të Këshillit të Lartë Gjyqësor nga radhët e avokatëve, sipas ligjit nr.', 'Projektvendimi “Për zgjedhjen e anëtarëve të Këshillit të Lartë Gjyqësor nga radhët e avokatëve, sipas ligjit nr.', 'Kalojmë te projektvendimi “Për zgjedhjen e anëtarëve të Këshillit të Lartë të Prokurorisë nga radhët e avokatëve, sipas ligjit nr.']"
294,34,294_tims_akses_paautorizuar_sistemin,"['tims', 'akses', 'paautorizuar', 'sistemin', 'sistemit', 'persona', 'dëshmitë', 'dokumentacioni', 'administruar', 'dhënave']","['6. Dhënien e të dhënave të sistemit TIMS grupeve kriminale. 7. Mbrojtjen e paligjshme që bën Partia Socialiste për sistemin TIMS.', 'Aksesi i paautorizuar në sistemin TIMS. Nga dokumentacioni i administruar dhe dëshmitë e marra nga komisioni hetimor ka rezultuar se persona të caktuar kanë pasur akses të paautorizuar në sistemin TIMS.', '3. Ndërhyrjen në sistemin TIMS. 4. Vjedhjen e sistemit TIMS. 5. Manipulimin e të dhënave të sistemit TIMS.']"
295,34,295_projektrezolutës_103_votash_miratimin,"['projektrezolutës', '103', 'votash', 'miratimin', 'shumicë', 'thjeshtë', 'neni', 'rregullores', '2016', '9572']","['152/2013 “Për nëpunësin civil”, i ndryshuar, si dhe neni 103 i Rregullores së Kuvendit; shumicë e thjeshtë votash për miratimin e projektrezolutës).', '115/2016 “Për organet e qeverisjes së sistemit të drejtësisë” dhe neni 103 i Rregullores, shumicë e thjeshtë votash për miratimin e projektrezolutës).', '115/2016 “Për organet e qeverisjes së sistemit të drejtësisë” dhe neni 103 i Rregullores, shumicë e thjeshtë votash për miratimin e projektrezolutës).']"
296,34,296_perëndimor_ballkanit_berlinit_europian,"['perëndimor', 'ballkanit', 'berlinit', 'europian', 'ballkanin', 'plani', 'vendeve', 'bashkimit', 'ballkani', 'be']","['Shtylla e dytë e këtij plani është forcimi i integrimit ekonomik brenda Ballkanit Perëndimor, përmes tregut të përbashkët rajonal.', 'Ky investim mbështet zhvillimin social-ekonomik dhe procesin e anëtarësimit të vendeve të Ballkanit Perëndimor në Bashkimin Europian.', 'Nga ana tjetër, do të doja të theksoja se është pikërisht analiza që ka bërë qeveria shqiptare, së bashku me të gjitha qeveritë e vendeve të Ballkanit Perëndimor, e cila ka sjellë në vëmendje të Bashkimit Europian nevojën e një plani të ri rritjeje, nevojën për një vëmendje drejt ekonomive të Ballkanit Perëndimor dhe kjo është edhe ajo që do të diskutohet gjatë samitit të Procesit të Berlinit, pra plani i ri i rritjes, duke vënë në dukje se me ndihmën, me suportin, me grantet që Ballkani Perëndimor merr aktualisht, nuk do të arrijë kurrë konvergjencën e duhur me vendet e zhvilluara të BE-së.']"
297,34,297_statistika_shifra_statistikat_statistikash,"['statistika', 'shifra', 'statistikat', 'statistikash', 'dështojmë', 'censusi', 'mblidheshin', 'ngelet', 'statistikave', 'kokëforta']","['Po më tej, pandemia? Vini këtu e nxirrni statistika që nuk kanë lidhje fare me statistikat zyrtare.', 'Statistika ngrihet mbi emocionin, mund ta transformosh si të duash, por numri ngelet numër, statistika ngelet statistikë.', 'Në momentin kur ne dështojmë në statistika, dështojmë edhe në politika, sepse politika të ndërmarra me statistika gjysmake, me statistika të pavërteta, me statistika që vijnë si rezultat i mbledhjes së të dhënave sipas kohës së shkuar, atëherë janë statistika që nuk hyjnë në punë për asgjë.']"
